timestamp,total_value,cash,returns,regime,pos_SPY,val_SPY
2022-01-04,1000000.0,1000000.0,0.0,bull,,
2022-01-05,1000000.0,1000000.0,0.0,bear,,
2022-01-05,999501.8081773282,3968.3557984867366,-0.0004981918226717972,bear,2125.4824125258156,995533.4523788415
2022-01-06,998566.5959158168,3968.3557984867366,-0.0009356784088432984,bull,2125.4824125258156,994598.2401173301
2022-01-06,998566.5959158168,3968.3557984867366,0.0,bull,2125.4824125258156,994598.2401173301
2022-01-07,994634.453452644,3968.3557984867366,-0.0039377869030021925,bull,2125.4824125258156,990666.0976541573
2022-01-07,994634.453452644,3968.3557984867366,0.0,bull,2125.4824125258156,990666.0976541573
2022-01-10,993401.6736533791,3968.3557984867366,-0.0012394300187226186,bull,2125.4824125258156,989433.3178548923
2022-01-10,993401.6736533791,3968.3557984867366,0.0,bull,2125.4824125258156,989433.3178548923
2022-01-11,1002413.7190824886,3968.3557984867366,0.009071904817682028,bull,2125.4824125258156,998445.3632840018
2022-01-12,1005113.0817463964,3968.3557984867366,0.002692862849461544,bull,2125.4824125258156,1001144.7259479096
2022-01-13,991318.7008891038,3968.3557984867366,-0.013724207860596796,transition,2125.4824125258156,987350.3450906171
2022-01-13,991318.7008891038,3968.3557984867366,0.0,transition,2125.4824125258156,987350.3450906171
2022-01-14,991722.5425474838,3968.3557984867366,0.0004073782306515528,bull,2125.4824125258156,987754.1867489971
2022-01-14,991722.5425474838,3968.3557984867366,0.0,bull,2125.4824125258156,987754.1867489971
2022-01-18,974229.8222923963,3968.3557984867366,-0.017638724042869,bear,2125.4824125258156,970261.4664939096
2022-01-18,974229.8222923963,3968.3557984867366,0.0,bear,2125.4824125258156,970261.4664939096
2022-01-19,964155.0356570239,3968.3557984867366,-0.010341283344895067,bear,2125.4824125258156,960186.6798585372
2022-01-19,964155.0356570239,3968.3557984867366,0.0,bear,2125.4824125258156,960186.6798585372
2022-01-20,953527.6235943949,3968.3557984867366,-0.011022513672178203,bear,2125.4824125258156,949559.2677959081
2022-01-20,953527.6235943949,3968.3557984867366,0.0,bear,2125.4824125258156,949559.2677959081
2022-01-21,934887.1428365435,3968.3557984867366,-0.01954896774524966,bear,2125.4824125258156,930918.7870380568
2022-01-21,934887.1428365435,3968.3557984867366,0.0,bear,2125.4824125258156,930918.7870380568
2022-01-24,938840.5401238414,3968.3557984867366,0.004228742814135687,bear,2125.4824125258156,934872.1843253546
2022-01-24,938840.5401238414,3968.3557984867366,0.0,bear,2125.4824125258156,934872.1843253546
2022-01-25,927426.6995685779,3968.3557984867366,-0.01215737930720148,bear,2125.4824125258156,923458.3437700912
2022-01-25,927426.6995685779,3968.3557984867366,0.0,bear,2125.4824125258156,923458.3437700912
2022-01-26,925109.9237389247,3968.3557984867366,-0.002498068937125681,bear,2125.4824125258156,921141.5679404379
2022-01-26,925109.9237389247,3968.3557984867366,0.0,bear,2125.4824125258156,921141.5679404379
2022-01-27,920561.3913761195,3968.3557984867366,-0.004916747995115936,bear,2125.4824125258156,916593.0355776327
2022-01-27,920561.3913761195,3968.3557984867366,0.0,bear,2125.4824125258156,916593.0355776327
2022-01-28,943325.3080142708,3968.3557984867366,0.024728298244316223,bear,2125.4824125258156,939356.9522157841
2022-01-28,943325.3080142708,3968.3557984867366,0.0,bear,2125.4824125258156,939356.9522157841
2022-01-31,960244.1480179764,3968.3557984867366,0.017935318664692956,bear,2125.4824125258156,956275.7922194897
2022-01-31,960244.1480179764,3968.3557984867366,0.0,bear,2125.4824125258156,956275.7922194897
2022-02-01,966705.6145520549,3968.3557984867366,0.006728982985645342,transition,2125.4824125258156,962737.2587535682
2022-02-01,966705.6145520549,3968.3557984867366,0.0,transition,2125.4824125258156,962737.2587535682
2022-02-02,976057.7371671685,3968.3557984867366,0.009674219818664382,transition,2125.4824125258156,972089.3813686818
2022-02-03,953208.8012325161,3968.3557984867366,-0.02340941018608937,bear,2125.4824125258156,949240.4454340293
2022-02-03,953208.8012325161,3968.3557984867366,0.0,bear,2125.4824125258156,949240.4454340293
2022-02-04,957672.3142988201,3968.3557984867366,0.00468261839434616,bull,2125.4824125258156,953703.9585003334
2022-02-04,957672.3142988201,3968.3557984867366,0.0,bull,2125.4824125258156,953703.9585003334
2022-02-07,954611.6196247829,3968.3557984867366,-0.0031959728065002234,bull,2125.4824125258156,950643.2638262962
2022-02-07,954611.6196247829,3968.3557984867366,0.0,bull,2125.4824125258156,950643.2638262962
2022-02-08,962433.394902878,3968.3557984867366,0.00819367281656329,bull,2125.4824125258156,958465.0391043912
2022-02-09,976461.5788255484,3968.3557984867366,0.014575745186071873,bear,2125.4824125258156,972493.2230270617
2022-02-10,958990.1133945861,3968.3557984867366,-0.017892629684391984,bear,2125.4824125258156,955021.7575960994
2022-02-11,940158.3392196074,3968.3557984867366,-0.01963708896676623,bear,2125.4824125258156,936189.9834211207
2022-02-11,940158.3392196074,3968.3557984867366,0.0,bear,2125.4824125258156,936189.9834211207
2022-02-14,937097.6445455702,3968.3557984867366,-0.0032555097863384798,bear,2125.4824125258156,933129.2887470835
2022-02-14,937097.6445455702,3968.3557984867366,0.0,bear,2125.4824125258156,933129.2887470835
2022-02-15,952146.0600262531,3968.3557984867366,0.016058535167891,bear,2125.4824125258156,948177.7042277664
2022-02-16,953208.8012325161,3968.3557984867366,0.0011161535513087737,bear,2125.4824125258156,949240.4454340293
2022-02-17,932931.6990170197,3968.3557984867366,-0.02127246642003064,bear,2125.4824125258156,928963.343218533
2022-02-17,932931.6990170197,3968.3557984867366,0.0,bear,2125.4824125258156,928963.343218533
2022-02-18,926916.5837895717,3968.3557984867366,-0.006447540836897129,bear,2125.4824125258156,922948.2279910849
2022-02-18,926916.5837895717,3968.3557984867366,0.0,bear,2125.4824125258156,922948.2279910849
2022-02-22,917011.8357472013,3968.3557984867366,-0.010685695148398469,bear,2125.4824125258156,913043.4799487146
2022-02-22,917011.8357472013,3968.3557984867366,0.0,bear,2125.4824125258156,913043.4799487146
2022-02-23,900815.6597637546,3968.3557984867366,-0.017661905061726674,bear,2125.4824125258156,896847.3039652678
2022-02-23,900815.6597637546,3968.3557984867366,0.0,bear,2125.4824125258156,896847.3039652678
2022-02-24,914312.4730832935,3968.3557984867366,0.014982880429808014,bear,2125.4824125258156,910344.1172848068
2022-02-24,914312.4730832935,3968.3557984867366,0.0,bear,2125.4824125258156,910344.1172848068
2022-02-25,934398.2818816626,3968.3557984867366,0.021968210420048824,bear,2125.4824125258156,930429.9260831758
2022-02-25,934398.2818816626,3968.3557984867366,0.0,bear,2125.4824125258156,930429.9260831758
2022-02-28,932017.7415796336,3968.3557984867366,-0.0025476719597933516,bear,2125.4824125258156,928049.3857811468
2022-02-28,932017.7415796336,3968.3557984867366,0.0,bear,2125.4824125258156,928049.3857811468
2022-03-01,917883.283536337,3968.3557984867366,-0.01516543882452361,bear,2125.4824125258156,913914.9277378502
2022-03-01,917883.283536337,3968.3557984867366,0.0,bear,2125.4824125258156,913914.9277378502
2022-03-02,934695.849419416,3968.3557984867366,0.01831667074086496,bear,2125.4824125258156,930727.4936209293
2022-03-02,934695.849419416,3968.3557984867366,0.0,bear,2125.4824125258156,930727.4936209293
2022-03-03,930062.2977601098,3968.3557984867366,-0.004957282801870145,bear,2125.4824125258156,926093.941961623
2022-03-03,930062.2977601098,3968.3557984867366,0.0,bear,2125.4824125258156,926093.941961623
2022-03-04,922538.0900197685,3968.3557984867366,-0.00809000403355994,bear,2125.4824125258156,918569.7342212817
2022-03-04,922538.0900197685,3968.3557984867366,0.0,bear,2125.4824125258156,918569.7342212817
2022-03-07,895459.4440841896,3968.3557984867366,-0.02935233377192979,bear,2125.4824125258156,891491.0882857029
2022-03-07,895459.4440841896,3968.3557984867366,0.0,bear,2125.4824125258156,891491.0882857029
2022-03-08,888700.4100123575,3968.3557984867366,-0.007548118584806179,bear,2125.4824125258156,884732.0542138708
2022-03-08,888700.4100123575,3968.3557984867366,0.0,bear,2125.4824125258156,884732.0542138708
2022-03-09,912420.7937361456,3968.3557984867366,0.026691091234512028,bear,2125.4824125258156,908452.4379376589
2022-03-09,912420.7937361456,3968.3557984867366,0.0,bear,2125.4824125258156,908452.4379376589
2022-03-10,908318.6126799708,3968.3557984867366,-0.004495931136528954,bear,2125.4824125258156,904350.2568814841
2022-03-10,908318.6126799708,3968.3557984867366,0.0,bear,2125.4824125258156,904350.2568814841
2022-03-11,896819.752828206,3968.3557984867366,-0.012659500412347223,bear,2125.4824125258156,892851.3970297193
2022-03-11,896819.752828206,3968.3557984867366,0.0,bear,2125.4824125258156,892851.3970297193
2022-03-14,890294.5218217518,3968.3557984867366,-0.0072759670891238476,bear,2125.4824125258156,886326.1660232651
2022-03-14,890294.5218217518,3968.3557984867366,0.0,bear,2125.4824125258156,886326.1660232651
