Strategy,Total Return,Ann. Return,Volatility,Sharpe,Max DD,Num Trades
Buy&Hold,0.22726416082085651,0.07113298711248661,0.175519327469704,0.29132396898747553,0.2533556695633965,0
Paper1_HMM,0.0,0.0,0.0,0.0,0.0,0
Paper2_MeanRev,0.24967108813161681,0.05598826068965801,0.14885508336215628,0.24176709237467245,0.24204512045052493,1
Paper3_RegimeSw,0.0,0.0,0.0,0.0,0.0,0
